trial_id,params,mean_selection_score,std_selection_score,mean_val_price_mae,mean_test_price_mae
11,"{""batch_size"": 16, ""dropout"": 0.2696083707790484, ""hidden_size"": 96, ""huber_delta"": 0.8, ""learning_rate"": 0.001377568812615125, ""loss_type"": ""huber"", ""model_type"": ""gru"", ""num_layers"": 1, ""weight_decay"": 0.00011568196820646862}",3.6433560848236084,1.5661184247858522,3.6433560848236084,3.4708006978034973
40,"{""batch_size"": 16, ""dropout"": 0.20608913283963648, ""hidden_size"": 128, ""huber_delta"": 0.8, ""learning_rate"": 0.0011425055655614827, ""loss_type"": ""mse"", ""model_type"": ""lstm"", ""num_layers"": 1, ""weight_decay"": 7.250627112602917e-06}",3.6527457237243652,1.3475556429481685,3.6527457237243652,3.5525038838386536
22,"{""batch_size"": 24, ""dropout"": 0.0814972553120344, ""hidden_size"": 80, ""huber_delta"": 1.2, ""learning_rate"": 0.0011752716100098726, ""loss_type"": ""mse"", ""model_type"": ""gru"", ""num_layers"": 3, ""weight_decay"": 6.555417706750286e-06}",3.6594561338424683,1.3351370300569378,3.6594561338424683,3.858063817024231
64,"{""batch_size"": 32, ""dropout"": 0.250985935390577, ""hidden_size"": 80, ""huber_delta"": 1.2, ""learning_rate"": 0.001045643184921248, ""loss_type"": ""huber"", ""model_type"": ""gru"", ""num_layers"": 2, ""weight_decay"": 1.4682492461678786e-05}",3.6657052040100098,1.3152972009559767,3.6657052040100098,3.8153600096702576
86,"{""batch_size"": 24, ""dropout"": 0.17143945131756097, ""hidden_size"": 128, ""huber_delta"": 1.2, ""learning_rate"": 0.0011860570669677698, ""loss_type"": ""huber"", ""model_type"": ""lstm"", ""num_layers"": 1, ""weight_decay"": 6.17766835160401e-05}",3.666350305080414,1.3011177604661996,3.666350305080414,3.648303508758545
84,"{""batch_size"": 16, ""dropout"": 0.146914528420836, ""hidden_size"": 64, ""huber_delta"": 1.2, ""learning_rate"": 0.0006437321001004574, ""loss_type"": ""mse"", ""model_type"": ""gru"", ""num_layers"": 1, ""weight_decay"": 0.00013543670744307112}",3.6789650917053223,1.5191115637145305,3.6789650917053223,3.42637038230896
95,"{""batch_size"": 24, ""dropout"": 0.26834627027973823, ""hidden_size"": 128, ""huber_delta"": 1.0, ""learning_rate"": 0.0004258560873042306, ""loss_type"": ""huber"", ""model_type"": ""gru"", ""num_layers"": 1, ""weight_decay"": 0.00013623987269768183}",3.6806101202964783,1.330188135193828,3.6806101202964783,3.6481615900993347
78,"{""batch_size"": 32, ""dropout"": 0.15190083758540332, ""hidden_size"": 64, ""huber_delta"": 1.2, ""learning_rate"": 0.0006178188843867176, ""loss_type"": ""huber"", ""model_type"": ""gru"", ""num_layers"": 2, ""weight_decay"": 7.477112613323693e-06}",3.6816893815994263,1.3100525326581531,3.6816893815994263,3.5690780878067017
56,"{""batch_size"": 24, ""dropout"": 0.15, ""hidden_size"": 80, ""huber_delta"": 1.0, ""learning_rate"": 0.00085, ""loss_type"": ""huber"", ""model_type"": ""gru"", ""num_layers"": 2, ""weight_decay"": 0.00012}",3.687759280204773,1.2610543327215156,3.687759280204773,3.4786787629127502
62,"{""batch_size"": 16, ""dropout"": 0.06295752279372614, ""hidden_size"": 128, ""huber_delta"": 0.8, ""learning_rate"": 0.0009598021068599813, ""loss_type"": ""mse"", ""model_type"": ""lstm"", ""num_layers"": 2, ""weight_decay"": 9.745037739700868e-06}",3.6897303462028503,1.1515299663344871,3.6897303462028503,3.5276037454605103
